абсорбуючий      здатний абсорбувати, абсорбційний, абсорбент
функціонуючий    здатний функціонувати, функціонований, функціонер, виконавець функції, функціональний, о. тепер у дії /в роботі/
централізуючий   покликаний централізувати, зайнятий централізацією, центрелізатор, централізаційний, для централізації
чекаючий         згодний /змушений, звиклий/ чекати, очікувальний, в чеканні, ст. очікуючи
читаючий         звиклий читати, здатний прочитати, зайнятий читанням, читач, читальник, читальний, письменний, грамотний, (зі сцени) читець
шокуючий         здатний приголомшити, звиклий шокувати, разючий, приголомшливий, неймовірний, нечуваний, моторошний, кошмарний, скандальний, безпардонний, непристойний, о. як грім з ясного неба
шукаючий         зайнятий пошуком, звиклий шукати, покликаний розшукати, шукач, пошуковець, пошукливий, (- око) шукацький, (погляд) розгублений, (чого) спраглий, спрагнений, о. у пошуках.



обледеніння      обмерзлість, обмороження, обмерзнення, обмерзання
обледеніти
обмундировувати
обширний
окорок           окіст
партнерша        партнерка
перила           бильця, поручні, поруччя
полоса           смуга
резинка          гумка
рознощик         розносник
рульовий         
салфетка         серветка
функціонувати
